stationscode;Chlorophytes;Cyanobacteria;Diatoms;Dinoflagellates;Euglenophytes;Phaeocystis
1;0;0.000389254;3.549568174;0.000159753;0.000370689;1.169212626
2;0;0;2.096990401;0;0;0.009609697
3;0;0.005429364;0.892289351;1.74769E-05;0.002174637;1.242189163
4;0;0.053250515;0.685422436;0.000129358;0.000285053;1.038412577
5;0;0.004260582;0.12665491;4.48027E-05;7.97778E-05;1.570459818
6;0.000105315;0.102895207;0.112728467;0;0;2.063070899
7;0.001852518;0;0.184369526;1.57175E-05;0;1.302562188
8;0.00591327;0.034006418;0.010138971;0;0.178323505;0.250117802
9;0.006937154;0.102331212;0.042190273;1.60215E-05;0.737063526;1.359861906
10;0;0.039328652;0.007673227;0.173944521;1.56026E-05;0.16893803
11;1.48389E-05;1.73608E-05;0.107240596;0;0;0.237127217
12;0;0;0;0.014822446;0;0.562477548
13;0.002102555;0;0.274735195;3.83938E-05;0;0.681423923
14;0.001116464;0.016290079;0.000169602;0.119219751;0.115388732;0.336515353
15;0.001049654;0.027700508;0.050841349;0.080265819;0.34956809;1.287074541
16;0.002913379;0.001528991;0.317660235;1.08356E-05;0.21245132;0.437735305
19;0;0;0.856563667;6.50706E-05;0.001815002;2.119156211
20;0.000417311;0.042946119;0.085836181;0;0.45439322;0.912807232
21;0.002338251;0.002503011;0.712409836;0.077058482;0.144958653;0.492131798
22;0;0;1.437876423;0;0;0.47972352
23;0.002920569;0.01880057;0.314874716;0;0.199882374;0.876421694
24;0;0.101025248;0.43666249;0.000439755;0.233222351;4.090050025
25;0.000720025;0.062326252;0.015696877;0;0.136994312;2.026362428
26;0.000972266;4.64633E-05;0.681298752;8.40665E-05;0.049678613;0.420019852
27;0.003351299;0;1.855208804;9.70289E-05;0.122180968;0.480261998
28;0.000512652;0;1.524475408;0;0.171112992;0.525298924
29;0.005820215;0;1.821011609;0.205688426;0.104191141;0.000288532
30;0;0.000219355;3.131832792;0.003068051;0.004579883;0
31;0.000575854;0;0.548983089;0;0.134386408;0.375054599
32;0;0;0.819199234;0;0.001527114;1.822673548
33;0;0.000157271;0.098934599;6.71861E-06;0.000947281;0.902654157
34;0;0.000638917;0.161779182;2.32022E-05;3.95705E-05;0.430019111
35;0;0;0.195094218;0;0;0.174605771
36;0;0.000750826;0.224471346;2.77504E-05;5.23674E-05;0.321597704
37;0;0;0.552620287;0.000120281;0;3.685859266
38;0;0.041480437;4.575026512;0.000601611;0.001313922;13.88547668
39;0;0.001938429;0.427069125;8.81969E-06;0.001336575;0.602747128
40;0;0.000676966;0.326550583;1.7737E-05;0.001149138;0.481805592
41;0;6.49438E-05;0;0;0;0.220235055
42;0;0.001675003;0.494613606;8.84458E-06;0.001271006;0.42413152
43;0;0.000421794;0.386253697;2.38039E-05;6.3053E-05;0.312037652
44;0;0.001661178;0.596837001;1.97172E-05;0.001437592;0.422144559
