stationcode,Institut,Synechococcus_concentration_CNRS,Pico_concentration_CNRS,Nano_concentration_CNRS,Micro_concentration_CNRS,Synechococcus_totTFLRed_CNRS,Pico_totFLR_CNRS,Nano_totFLRed_CNRS,Micro_totFLRed_CNRS
1,CNRS,29.01854175,1872.1962627,22302.250291894,5319.398893,3420.18536777154,826688.222187868,149174043.514163,256495154.603623
2,CNRS,,,,,,,,
3,CNRS,,,,,,,,
4,CNRS,,,,,,,,
5,CNRS,,,,,,,,
6,CNRS,,,,,,,,
7,CNRS,,,,,,,,
8,CNRS,4020.281402,3369.086303288,6162.923338762,16.15868731,433115.83862517,1667105.90799539,16840293.0517595,419679.890131972
9,CNRS,10054.5107,17545.832268,30870.32152864,624.90529423,1294196.10336756,5514737.50634693,119786846.063545,29397959.012324
10,CNRS,,,,,,,,
11,CNRS,2471.117858,5166.615901,4563.5155143,59.5551147,199892.96785816,895033.687464202,12082992.107564,4771906.40971967
12,CNRS,,,,,,,,
13,CNRS,,,,,,,,
14,CNRS,7718.029689,8129.868239471,9913.47966544,33.735711065,866094.719475875,3998295.13746595,39912730.711146,1594025.49148463
15,CNRS,10066.56978,18648.080784,14904.30686705,413.687771061,1784849.86389709,5692114.79653509,45496302.6675681,10795299.8665438
16,CNRS,5616.690094,12667.30543,6065.9896428,60.174046719,1030964.17086367,3997305.76016378,15406704.3927919,4466885.29983439
17,CNRS,8117.022757,10249.3976669399,12732.19130641,353.684941932,1141687.52710328,4202594.59900964,52315688.0093696,9685433.50105195
18,CNRS,,,,,,,,
19,CNRS,,,,,,,,
20,CNRS,10110.93887,12675.0582776,15521.77717582,86.663844627,1399583.41067611,4808139.30144995,65775312.3159351,2195909.21893742
21,CNRS,,,,,,,,
22,CNRS,2943.950432,10274.2545951,5378.55771592,329.704793504,346008.18795481,2962329.15690401,23932046.1527789,45415919.898547
23,CNRS,5029.590812,12074.4717493,6181.00014211,62.168332783,599905.415436708,3652439.19908037,25454133.5287828,6319730.07140293
24,CNRS,,,,,,,,
25,CNRS,,,,,,,,
26,CNRS,3744.624377,10300.830255,9399.15016393,314.089075075,445801.706172344,3356289.4417549,45895524.0076147,37868396.0969362
27,CNRS,3844.313015,15773.5037557,7372.0724188,166.112290795,416174.420004099,4937852.16445993,27814429.4040582,28739548.6003963
28,CNRS,3937.190468,15809.35415133,4821.22747756,135.13386237,433553.021996661,4821861.2976101,19215916.6575186,24347054.0308233
29,CNRS,1616.357255,6010.9531234,7936.93869299,274.191597863,251055.851247546,2168932.17101666,29743780.0730379,38036689.8898753
30,CNRS,1724.793312,4859.18482303,5560.69149473,347.680402946,278109.203150957,1917831.44225926,34744412.078238,50127303.2330529
31,CNRS,4231.526336,10466.6977248,7244.0150107,87.763690472,501230.723237572,3755775.16778766,19457199.2085519,4966671.86860087
32,CNRS,,,,,,,,
33,CNRS,,,,,,,,
34,CNRS,,,,,,,,
35,CNRS,,,,,,,,
36,CNRS,,,,,,,,
37,CNRS,2757.101725,637.9414452,17638.82428882,537.60683604,229428.38399943,262091.265996119,158500192.100831,14020203.8761113
38,CNRS,438.7631963,4681.594582,95792.56048875,21577.0306613,39165.0670863794,1187179.81076989,1253510582.75979,406262270.35934
39,CNRS,617.6474983,594.9304147,12410.385611,1321.87708876,42356.2166012093,419848.137162889,56112832.0119295,13538792.0121126
40,CNRS,184.7473538,346.7359756,23067.982991996,209.29108435,13571.7905072535,221206.842403794,76835314.6072811,10316576.0489175
41,CNRS,216.7065473,307.3292852,11577.38311614,1498.55860864,16414.0981315591,265627.940813777,31106814.291589,15519235.8067296
42,CNRS,127.0636099,249.25577163,5324.087042633,370.23007119,9432.34178038492,171999.878887739,14286083.1826161,9930960.49545024
43,CNRS,43.17246137,547.3942272,5519.96574418,160.87851169,4323.35544710977,207522.690610755,9551437.88204115,12788693.1291101
44,CNRS,29.353382059105,217.29126978818,2714.9972340902,33.9279351072772,2332.25962905979,95438.5190312626,5565739.75533187,3628509.55534292
