filenames,AnalysisDate,pico_concRWS,nano_concRWS,micro_concRWS,Synechoccocus_concRWS,pico_totFLRRWS,nano_totFLRRWS,micro_totFLRRWS,synechoccocus_totFLRRWS,stationcode
LL_SimonStevin stat 1_sws15flr 2uls_360sec 2017-05-11 22h00_FIXclus,11/05/2017 22:00,991.514453,12101.49042,2506.638,5.57E+00,700240.4393,39148980.84,128497858,1.94E+03,1
LL_SimonStevin stat 8 sws15flr 2uls_360sec 2017-05-09 18h39_FIXclus,09/05/2017 18:39,2266.9635,6500.18657,65.15222,1.23E+03,1111150.3,25999390,3177807.493,5.30E+05,8
LL_SimonStevin stat 9_sws15flr 2uls_360sec 2017-05-09 08h53_FIXclus,09/05/2017 08:53,11434.3487,39991.858,295.90724,2.96E+03,11689293.2,196855674,3486690.5,1.42E+06,9
LL_SimonStevin stat 14 sws15flr 2uls_360sec 2017-05-09 17h37_FIXclus,09/05/2017 17:37,4740.01667,10081.39,79.489876,2.63E+03,2405548.08,37226621.9,1075683.305,1.19E+06,14
LL_SimonStevin stat 15_sws15flr 2uls_360sec 2017-05-09 10h23_FIXclus,09/05/2017 10:23,9696.25369,21339.6461,77.096696,3.06E+03,5608497.81,105423195,1452356.056,1.54E+06,15
LL_SimonStevin stat 16_sws15flr 2uls_360sec 2017-05-09 11h53_FIXclus,09/05/2017 11:53,6345.90378,7670.8722,71.672293,1.92E+03,2896376.05,33349465,2922109.1,1.09E+06,16
LL_SimonStevin stat 17 sws15flr 2uls_360sec 2017-05-09 16h24_FIXclus,09/05/2017 16:24,6327.16403,18090.3629,117.29938,2.75E+03,3425433.61,93518045,2628985.32,1.33E+06,17
LL_SimonStevin stat 20 sws15flr 2uls_360sec 2017-05-09 14h27_FIXclus,09/05/2017 14:27,7452.70759,16172.2337,98.80483,3.42E+03,4725018.12,80028223,1715641.02,1.78E+06,20
LL_SimonStevin stat 21_sws15flr 2uls_360sec 2017-05-09 13h22_FIXclus,09/05/2017 13:22,5084.700631,8617.25,140.739052,1.32E+03,2574539.041,44651556,4067416.352,7.02E+05,21
LL_SimonStevin_stat 22 sws15flr 2uls_360sec 2017-05-10 07h04_FIXclus,10/05/2017 07:04,3674.489577,6113.15445,136.336543,7.59E+02,1674952.52,30871565.2,5903722.628,3.87E+05,22
LL_SimonStevin stat 23_sws15flr 2uls_360sec 2017-05-10 05h53_FIXclus,10/05/2017 05:53,4761.493262,7442.0369,77.965964,1.49E+03,2258915.67,29878360,789040.307,7.67E+05,23
LL_SimonStevin stat 27_sws15flr 2uls_360sec 2017-05-10 11h05_FIXclus,10/05/2017 11:05,5543.049459,7195.38891,171.843368,1.28E+03,2163838.078,22508745,10187535.78,6.10E+05,27
LL_SimonStevin stat 28_sws15flr 2uls_360sec 2017-05-10 12h24_FIXclus,10/05/2017 12:24,6559.769,7353.341,106.662908,1.53E+03,2667820.002,36306429,5457566.679,7.11E+05,28
LL_SimonStevin Stat 29_sws15flr 05uls_360sec 2017-05-10 15h46_FIXclus,10/05/2017 15:46,1092.34022,5461.70159,179.33944,4.16E+02,535858.5282,6178780.823,14648198.99,2.69E+05,29
LL_SimonStevin stat 30_sws15flr 05uls_360sec 2017-05-10 16h54_FIXclus,10/05/2017 16:54,1203.581879,4701.99357,224.6686,5.94E+02,565305.5439,13801370,385532.728,3.95E+05,30
LL_SimonStevin Stat 31_sws15flr 2uls_360sec 2017-05-10 18h46_FIXclus,10/05/2017 18:46,6489.78225,7687.2549,69.505023,1.86E+03,3231027.345,45230032,546063.845,9.24E+05,31
LL_SimonStevin Stat 38_sws15flr 05uls_360sec 2017-05-11 07h41_FIXclus,11/05/2017 07:41,4463.89159,60626.06161,5519.277673,1.72E+02,1457452.75,932494258.4,129416005,6.48E+04,38
LL_SimonStevin stat 39_sws15flr 2uls_360sec 2017-05-11 09h16_FIXclus,11/05/2017 09:16,942.084899,8985.37276,1098.231495,2.93E+02,377272.9114,50218841.69,7289629.794,6.96E+04,39
LL_SimonStevin stat 40_sws15flr 2uls_360sec 2017-05-11 10h55_FIXclus,11/05/2017 10:55,490.260352,9051.22127,148.768672,1.56E+02,350270.266,44981449.38,1743094.584,3.58E+04,40
LL_SimonStevin stat 41_sws15flr 2uls_360sec 2017-05-11 12h55_FIXclus,11/05/2017 12:55,366.89672,4854.86015,453.839087,1.06E+02,147786.844,26693846.06,6945990.061,2.90E+04,41
LL_SimonStevin stat 42_sws15flr 2uls_360sec 2017-05-11 14h24_FIXclus,11/05/2017 14:24,425.377101,3766.32173,226.38092,9.68E+01,233332.805,17747620.12,7750760.992,2.56E+04,42
LL_SimonStevin stat 43 _sws15flr 2uls_360sec 2017-05-11 18h37_FIXclus,11/05/2017 18:37,618.11608,2963.93301,153.11134,1.13E+01,743124.065,10882729.84,5377591.482,4.36E+03,43
LL_SimonStevin stat 44 _sws15flr 2uls_360sec 2017-05-11 20h21_FIXclus,11/05/2017 20:21,152.398706,1537.239629,64.603819,9.94E+00,44407.277,6934804.251,30324975.1,3.27E+03,44
