stationcode;StartDate_station;EndDate_station;nano_tflr_vliz;micro_tflr_vliz;macro_tflr_vliz;pico_tflr_vliz;pico_conc_vliz;nano_conc_vliz;micro_conc_vliz;macro_conc_vliz
2;05/08/2017 14:37;05/08/2017 14:37;48167342;4054373.61;764346.59;4254845;5728.422;18527.366;998.03056;22.786082
3;05/08/2017 17:25;05/08/2017 17:29;102950206;1475679.13;521968.77;1577859;3369.362;26548.525;464.41933;30.187253
4;05/08/2017 19:24;05/08/2017 19:24;166100255;2598943.88;1078874.65;3677147;8128.832;50095.949;892.99557;77.172447
5;05/08/2017 20:50;05/08/2017 20:50;167641230;3152619.84;2703364.1;4891138;9425.726;50233.056;957.5666;105.63901
19;05/08/2017 22:15;05/08/2017 22:26;82394847;1812524.32;250961.38;1709895;5173.919;20659.008;373.108774;17.253586
6;;;;;;;;;;
13;05/09/2017 01:34;05/09/2017 01:34;74999042.9;1476103.74;392555.377;2236578;4783.927;25634.3431;474.51037;17.254921
7;05/09/2017 02:05;05/09/2017 02:06;47536723.3;567793.41;262122.6;1854372;3379.009;15065.4631;261.096587;11.434886
12;05/09/2017 03:29;05/09/2017 03:33;13848909.1;385854.5;168245.35;1138753;3209.955;7023.1237;96.94496;21.54332
11;05/09/2017 05:06;05/09/2017 05:08;10249555.4;123645.458;109158.06;1365122;3353.127;4334.8816;37.898637;7.218788
10;05/09/2017 06:37;05/09/2017 06:41;88836440;788085.208;173283;8371820;16118.19;29757.102;158.190663;8.62858
9;05/09/2017 08:29;05/09/2017 08:34;57591363;329512.47;567486.2;4592873;14168.94;18426.6642;135.196103;11.425025
15;05/09/2017 09:48;05/09/2017 09:51;15276661;766085.5;99353.69;2694135;10048.6;6314.609;76.36516;5.266563
16;05/09/2017 11:22;05/09/2017 11:24;23839534;899133.18;1817968.55;3182676;10347.52;11083.569;284.29396;35.049943
21;05/09/2017 12:46;05/09/2017 12:54;41879177;395112.01;195293.74;3798733;10646.27;12731.6643;77.516822;5.671963
20;05/09/2017 14:10;05/09/2017 14:18;51871827.4;1214695.96;61495.28;3378704;8592.635;14592.9058;83.029543;3.690202
17;05/09/2017 15:53;05/09/2017 15:55;18377649.1;620953.14;218688.72;1465288;3167.328;7459.7885;100.183115;7.706393
14;05/09/2017 17:10;05/09/2017 17:14;16429353.7;735111.01;68982.24;1370390;3542.669;6075.7792;103.166652;5.526785
8;05/09/2017 18:17;05/09/2017 18:18;16326593;524407.64;67924.28;1250368;3647.414;5975.0158;64.55599;3.586444
24;05/10/2017 02:04;05/10/2017 02:09;57200314;498637.57;919481.2;6353985;11518.51;17629.1236;134.603652;17.815192
25;05/10/2017 03:24;05/10/2017 03:31;20706876;515665.73;258811.53;3125097;8995.224;6798.582;94.01076;11.464726
23;05/10/2017 05:18;05/10/2017 05:26;37199099;7538818;2042353;6314084;12486.91;23513.421;583.10763;21.012882
22;05/10/2017 06:42;05/10/2017 06:42;34944921;839863.99;636394.62;3371025;9593.199;15725.613;271.27296;20.550987
26;05/10/2017 08:02;05/10/2017 08:09;64082755;2550642.91;3954648.7;7329571;23119.65;45882.17;954.292787;52.69102
27;05/10/2017 10:18;05/10/2017 10:27;32726824;1915776.46;852647.6;3114508;12044.1;12806.686;327.96641;23.997543
28;05/10/2017 11:53;05/10/2017 11:57;30769249;3410141.9;2227430.69;3861437;12812.52;21304.486;958.70192;34.087182
29;05/10/2017 14:52;05/10/2017 14:59;21246978;2862184.64;50212.45;4088201;9613.908;22772.114;1134.17568;8.860745
30;05/10/2017 16:35;05/10/2017 16:38;21927173;1755388.1;158694.9;2561215;8138.73;6822.5226;134.884048;6.526648
31;05/10/2017 18:18;05/10/2017 18:22;119565445.8;1154020.91;337744.27;2637202;4397.956;27398.7151;88.981465;5.679668
32;05/10/2017 20:26;05/10/2017 20:33;78269810.6;211013.991;131757.075;1671968;3671.139;20484.8502;71.388205;7.138821
33;05/10/2017 22:46;05/10/2017 22:52;32511028;269840.513;71374.97;1082954;2609.372;11671.5621;97.515203;5.04389
35;05/11/2017 00:52;05/11/2017 00:54;45624602;3442055.47;352806;1500653;3017.919;13177.479;1240.483859;7.088477
36;05/11/2017 04:06;05/11/2017 04:07;130907750;8930257.2;362983.3;1813678;4154.72;25582.671;1087.10221;5.234842
37;05/11/2017 05:42;05/11/2017 05:44;1458968900;228756905;11707546;116696100;345835.4;1045555.4;32848.3009;105.08093
38;05/11/2017 07:12;05/11/2017 07:14;25102874;5360437.87;131492.66;703930.2;1520.144;10369.0538;2036.156197;8.716421
39;05/11/2017 08:55;05/11/2017 08:56;26609822.6;905754.07;60498.94;589303.7;1219.085;10623.4533;334.65072;5.122205
40;05/11/2017 10:33;05/11/2017 10:38;11526229;3006164.09;142259.3;1009944;1436.329;4816.6218;489.926119;9.837873
41;05/11/2017 12:25;05/11/2017 12:31;11202741.3;2548105.3;191435;1312403;1705.342;4617.5713;363.04744;7.849675
42;05/11/2017 13:53;05/11/2017 13:57;7190036.7;2605213;16711.73;686397.9;888.4854;3999.057;195.50166;1.745551
34;05/11/2017 16:31;05/11/2017 16:37;9405668.2;2226064.94;1310885;2621684;2536.649;5584.5152;143.840612;7.775169
43;05/11/2017 18:05;05/11/2017 18:06;4109282.5;520054.1;83570.05;444106.2;511.6898;1795.96393;58.91166;6.732761
44;05/11/2017 20:00;05/11/2017 20:05;45747050;34659657.2;2321055.3;6714654;11539.27;39334.591;3979.78495;37.90271
1;;;;;;;;;;
